"plan_id","totalpensionliability","netpensionliability","year"
319,2.98198E+6,248200,"2017"
319,3.62247E+6,956443,"2018"
319,3.78083E+6,1.03259E+6,"2019"
319,3.8616E+6,1.11305E+6,"2020"
319,4.0778E+6,710001,"2021"
327,1.38962E+6,390004,"2016"
327,1.44239E+6,401630,"2017"
327,1.45309E+6,409216,"2018"
327,1.48443E+6,435175,"2019"
327,1.5112E+6,500469,"2020"
327,1.60136E+6,401502,"2021"
370,9.48448E+6,1.50694E+6,"2016"
370,9.97984E+6,1.46601E+6,"2017"
370,1.03199E+7,1.29146E+6,"2018"
370,1.06739E+7,1.55736E+6,"2019"
370,1.10446E+7,1.40575E+6,"2020"
370,1.16325E+7,-1.2186E+6,"2021"
375,45488,6196,"2016"
375,52353,6479,"2017"
375,56269,3147,"2018"
375,63117,4581,"2019"
375,69593,2123,"2020"
375,75987,-20945,"2021"
379,583995,183974,"2016"
379,589509,163782,"2017"
379,601113,155145,"2018"
379,646646,192492,"2019"
379,660732,203649,"2020"
379,709029,156672,"2021"
390,4.67556E+6,-279069,"2016"
390,4.95734E+6,-727102,"2017"
390,5.26587E+6,-757896,"2018"
390,5.60457E+6,-651790,"2019"
390,6.02384E+6,-596347,"2020"
390,6.18161E+6,-1.81038E+6,"2021"
391,2.06414E+6,242189,"2016"
391,2.16035E+6,89748,"2017"
391,2.26187E+6,85761,"2018"
391,2.49429E+6,229809,"2019"
391,2.6408E+6,229413,"2020"
391,2.69862E+6,-246266,"2021"
397,1.67031E+8,2.52501E+7,"2016"
397,1.83633E+8,2.95793E+7,"2017"
397,1.91317E+8,3.01205E+7,"2018"
397,1.98012E+8,3.44386E+7,"2019"
397,2.0491E+8,4.33415E+7,"2020"
397,2.09636E+8,7.55386E+6,"2021"
420,2.22255E+6,522449,"2016"
420,2.36528E+6,632752,"2017"
420,2.12092E+6,554242,"2018"
420,2.22966E+6,668448,"2019"
420,2.22723E+6,661102,"2020"
420,2.47796E+6,694194,"2021"
423,2.717E+6,977000,"2016"
423,2.903E+6,1.074E+6,"2017"
423,3.041E+6,1.021E+6,"2018"
423,3.28631E+6,1.112E+6,"2019"
423,3.3897E+6,138424,"2020"
423,3.52943E+6,1.22977E+6,"2021"
424,3.34552E+6,1.83212E+6,"2016"
424,3.73661E+6,1.97145E+6,"2017"
424,3.88007E+6,1.99907E+6,"2018"
424,4.03422E+6,2.13541E+6,"2019"
424,4.25353E+6,2.23346E+6,"2020"
424,4.59679E+6,2.11377E+6,"2021"
463,1.71039E+7,4.73037E+6,"2016"
463,1.71596E+7,4.06134E+6,"2017"
463,1.76282E+7,4.11103E+6,"2018"
463,1.7744E+7,4.12653E+6,"2019"
463,1.77172E+7,4.21496E+6,"2020"
463,1.88868E+7,2.3389E+6,"2021"
466,8.61835E+7,2.06311E+7,"2016"
466,8.99263E+7,1.85853E+7,"2017"
466,9.40951E+7,1.85621E+7,"2018"
466,1.00292E+8,2.15027E+7,"2019"
466,1.05385E+8,2.42239E+7,"2020"
466,1.10991E+8,8.84433E+6,"2021"
488,1.31784E+6,367425,"2016"
488,1.39414E+6,342464,"2017"
488,1.43966E+6,309275,"2018"
488,1.47228E+6,309133,"2019"
488,1.52496E+6,374478,"2020"
488,1.66765E+6,166025,"2021"
489,1.29491E+6,311522,"2016"
489,897095,227587,"2017"
489,937070,218937,"2018"
489,971323,243979,"2019"
489,990698,274280,"2020"
489,990698,274280,"2021"
490,1.91558E+6,792791,"2016"
490,1.94175E+6,712332,"2017"
490,1.87296E+6,571976,"2018"
490,1.89511E+6,561252,"2019"
490,1.87296E+6,571976,"2020"
490,1.92006E+6,602267,"2021"
500,2.74392E+7,1.33693E+7,"2016"
500,2.86486E+7,1.29503E+7,"2017"
500,2.99174E+7,1.3319E+7,"2018"
500,3.13964E+7,1.41694E+7,"2019"
500,3.26918E+7,1.53063E+7,"2020"
502,1.59113E+7,2.02715E+6,"2016"
502,1.68685E+7,1.57183E+6,"2017"
502,1.77498E+7,1.47502E+6,"2018"
502,1.83809E+7,1.14147E+6,"2019"
502,1.97142E+7,2.32213E+6,"2020"
502,2.16917E+7,-78978,"2021"
507,4.91839E+7,3.41454E+7,"2016"
507,4.94372E+7,3.2907E+7,"2017"
507,5.05197E+7,3.30564E+7,"2018"
507,5.18859E+7,3.3394E+7,"2019"
507,5.4066E+7,3.48687E+7,"2020"
507,5.69841E+7,3.31007E+7,"2021"
510,1.24187E+8,7.8936E+7,"2016"
510,1.25774E+8,7.63981E+7,"2017"
510,1.29914E+8,7.79448E+7,"2018"
510,1.34371E+8,8.11082E+7,"2019"
510,1.38532E+8,8.62153E+7,"2020"
510,1.42224E+8,7.80113E+7,"2021"
511,4.29709E+7,2.59653E+7,"2016"
511,4.39659E+7,2.54811E+7,"2017"
511,4.68156E+7,2.74946E+7,"2018"
511,4.84374E+7,2.87201E+7,"2019"
511,5.02365E+7,3.06195E+7,"2020"
511,5.22968E+7,2.85285E+7,"2021"
513,2.32402E+7,1.41245E+7,"2016"
513,2.29408E+7,1.25329E+7,"2017"
513,2.17232E+7,1.18612E+7,"2018"
513,2.50719E+7,1.3581E+7,"2019"
513,2.76345E+7,1.49849E+7,"2020"
513,2.51188E+7,1.08373E+7,"2021"
517,5.14926E+6,4.13024E+6,"2016"
517,5.74615E+6,4.62E+6,"2017"
517,6.25236E+6,5.21657E+6,"2018"
517,6.54249E+6,5.39267E+6,"2019"
517,6.90113E+6,5.59224E+6,"2020"
517,7.00491E+6,5.53851E+6,"2021"
518,2.32913E+7,1.8855E+7,"2016"
518,1.62824E+7,1.17284E+7,"2017"
518,1.68086E+7,1.28944E+7,"2018"
518,1.72604E+7,1.31797E+7,"2019"
518,1.78148E+7,1.37246E+7,"2020"
518,1.84016E+7,1.40933E+7,"2021"
519,3.69365E+6,2.5259E+6,"2016"
519,2.63011E+6,1.36255E+6,"2017"
519,2.6934E+6,1.59872E+6,"2018"
519,2.77565E+6,1.5881E+6,"2019"
519,2.85833E+6,1.58859E+6,"2020"
519,2.90552E+6,1.57142E+6,"2021"
520,1.31131E+7,1.02481E+7,"2016"
520,1.34545E+7,1.03324E+7,"2017"
520,1.33133E+7,1.04081E+7,"2018"
520,1.47896E+7,1.16272E+7,"2019"
520,1.54947E+7,1.20528E+7,"2020"
520,1.634E+7,1.24933E+7,"2021"
581,2.11247E+7,1.10316E+7,"2016"
581,2.31756E+7,1.23824E+7,"2017"
581,2.45475E+7,1.34427E+7,"2018"
581,2.51662E+7,1.41273E+7,"2019"
581,2.63779E+7,1.54408E+7,"2020"
581,2.81005E+7,1.47274E+7,"2021"
583,1.84089E+7,4.53844E+6,"2016"
583,1.91062E+7,4.46154E+6,"2017"
583,1.60914E+7,3.39704E+6,"2018"
583,1.65761E+7,3.50506E+6,"2019"
583,1.62818E+7,3.02039E+6,"2020"
583,1.75632E+7,1.31585E+6,"2021"
778,3.46197E+7,6.29332E+6,"2016"
778,3.74404E+7,6.66127E+6,"2017"
778,3.86428E+7,6.32824E+6,"2018"
778,3.98013E+7,5.79066E+6,"2019"
778,4.10724E+7,7.02474E+6,"2020"
778,4.25446E+7,-345227,"2021"
781,2.86781E+6,625261,"2016"
781,3.02337E+6,586475,"2017"
781,3.14503E+6,595404,"2018"
781,3.26905E+6,655927,"2019"
781,3.39035E+6,797600,"2020"
781,3.51818E+6,224574,"2021"
788,56043.8,7063.94,"2016"
788,57887.9,4001.56,"2017"
788,58116.7,8818.15,"2018"
788,60150.4,4069.77,"2019"
788,62882.3,1824.13,"2020"
788,63385.6,-477.996,"2021"
790,2.64105E+7,9.2181E+6,"2016"
790,2.77625E+7,9.12863E+6,"2017"
790,2.85967E+7,8.90051E+6,"2018"
790,2.95487E+7,8.90063E+6,"2019"
790,3.10804E+7,1.04736E+7,"2020"
790,3.3054E+7,7.79945E+6,"2021"
800,610111,60324.2,"2016"
800,625461,10683.4,"2017"
800,671666,124974,"2018"
800,668662,50769.6,"2019"
800,680820,13791.1,"2020"
800,710297,-18420.6,"2021"
801,670428,56380.4,"2016"
801,698423,339.362,"2017"
801,766456,132402,"2018"
801,780247,49171.7,"2019"
801,807560,1810.28,"2020"
801,867789,-30907.7,"2021"
805,4.77369E+7,3.09241E+7,"2016"
805,4.69668E+7,2.82591E+7,"2017"
805,3.37086E+7,1.37269E+7,"2018"
805,3.46668E+7,1.42949E+7,"2019"
805,3.5552E+7,1.4835E+7,"2020"
805,3.95416E+7,1.36058E+7,"2021"
808,1.47911E+7,6.63955E+6,"2016"
808,1.69957E+7,8.09059E+6,"2017"
808,1.78761E+7,8.50876E+6,"2018"
808,1.9369E+7,9.79534E+6,"2019"
808,2.0092E+7,1.06849E+7,"2020"
808,2.0518E+7,9.03794E+6,"2021"
809,1.42993E+7,1.17911E+7,"2016"
